0#map = Map.new("The betrayal", 32, 32)
0#game = Game.new("This game", map, 2, 0.025)
0#player1 = Player.new(game, "Bob", Position.new(map, 1, 1))
0#player2 = Player.new(game, "Xitog", Position.new(map, 15, 15))
64#player1.make_group([5,5,5,5],11)
70#player1.order_to_group([6,5,6,5], 11)
81#player1.order_to_group([8,5,8,5], 11)
90#player1.order_to_group([8,3,8,3], 11)
104#player1.order_to_group([10,1,10,1], 11)
114#player1.order_to_group([13,3,13,3], 11)
128#player1.order_to_group([17,5,17,5], 11)
145#player1.order_to_group([16,6,16,6], 11)
157#player1.order_to_group([16,8,16,8], 11)
168#player1.order_to_group([13,10,13,10], 11)
180#player1.order_to_group([8,9,8,9], 11)
197#player1.order_to_group([7,9,7,9], 11)
205#player1.order_to_group([4,6,4,6], 11)
218#player1.order_to_group([1,5,1,5], 11)
233#player1.order_to_group([1,8,1,8], 11)
242#player1.order_to_group([0,8,0,8], 11)
252#player1.order_to_group([0,6,0,6], 11)
260#player1.order_to_group([0,3,0,3], 11)
266#player1.order_to_group([4,2,4,2], 11)
277#player1.order_to_group([6,1,6,1], 11)
286#player1.order_to_group([10,1,10,1], 11)
299#player1.order_to_group([17,0,17,0], 11)
356#player1.make_group([12,2,12,2],11)
389#This game : exiting game.
